Q9VGP6	FBgn0264694
P05709	FBgn0004666
Q9XYU1	FBgn0284442
Q9W1F4	FBgn0034939
P16378	FBgn0001122
Q9W252	FBgn0034728
P28159	FBgn0004837
Q24039	FBgn0013755
P07713	FBgn0000490
M9PHL2	FBgn0030301
P40417	FBgn0003256
Q9NFU0	FBgn0028734
P49869	FBgn0014859
P40792	FBgn0010333
Q9VCU9	FBgn0039016
Q9VCV3	FBgn0039013
P49258	FBgn0011273
Q24325	FBgn0011836
Q95RG8	FBgn0033539
Q7K9H6	FBgn0026369
P19538	FBgn0004859
P05049	FBgn0003450
Q95RY2	FBgn0036505
P40797	FBgn0013726
Q32KD4	FBgn0262739
Q9VND8	FBgn0041191
O97143	FBgn0026371
Q9W289	FBgn0034697
Q26454	FBgn0015929
P25991	FBgn0003559
Q9W5R5	FBgn0040011
Q9VTE2	FBgn0025355
Q9VCH4	FBgn0015513
Q9VLW8	FBgn0031951
O77430	FBgn0025637
Q9VF04	FBgn0038390
Q9V535	FBgn0033378
Q9VV79	FBgn0027500
Q7YU24	FBgn0029870
Q9U6B8	FBgn0041585
Q9U7D8	FBgn0003041
Q94535	FBgn0017457
Q7JZC9	FBgn0034523
P28466	FBgn0010194
Q9VYX7	FBgn0030310
P10676	FBgn0002938
P48461	FBgn0003134
Q24547	FBgn0013343
Q9VWS3	FBgn0027335
Q9VCY3	FBgn0028837
P29503	FBgn0002932
P91645	FBgn0263111
Q24159	FBgn0010317
Q6NNB4	FBgn0263929
Q4QPP9	FBgn0034534
Q01068	FBgn0002609
Q9VDE3	FBgn0283468
Q8IR23	FBgn0003969
Q8IMI5	FBgn0260440
Q9W2E6	FBgn0034647
Q27368	FBgn0011766
O17432	FBgn0019949
A1ZA47	FBgn0265991
Q08473	FBgn0263396
Q9VGR1	FBgn0037881
Q9VI13	FBgn0267698
Q24212	FBgn0016975
Q94545	FBgn0000139
Q7KVG9	FBgn0013764
Q2PDX8	FBgn0036374
M9PEK6	FBgn0002873
Q7KA43	FBgn0250903
Q9U8R4	FBgn0263864
P10041	FBgn0000463
E3CTS5	FBgn0028427
Q7KTX7	FBgn0041100
Q9NCC3	FBgn0040475
P10040	FBgn0259685
Q9NF31	FBgn0004860
Q9VX94	FBgn0030806
Q6NQZ7	FBgn0086358
Q9W0G7	FBgn0035209
Q7KMJ6	FBgn0027548
Q9V5C6	FBgn0023175
Q9VI72	FBgn0011020
P21525	FBgn0001297
P48148	FBgn0014020
Q9VDJ9	FBgn0038816
Q24368	FBgn0011604
Q9VWE0	FBgn0043903
Q9VKB2	FBgn0032409
Q9W2I4	FBgn0050390
Q9VPH8	FBgn0036973
A1Z9D7	FBgn0000119
Q8SY33	FBgn0051992
Q9VE52	FBgn0027841
P55162	FBgn0011771
Q9N2M8	FBgn0010113
P50445	FBgn0003302
Q9VWV9	FBgn0004957
Q7KRI2	FBgn0022238
M9PC91	FBgn0041096
P25723	FBgn0003719
Q86S05	FBgn0020279
Q8IN94	FBgn0261885
P08181	FBgn0264492
Q9VJ73	FBgn0032691
Q9VMY0	FBgn0031652
A1Z7N9	FBgn0015838
P18289	FBgn0001291
Q24318	FBgn0011763
Q0KIF1	FBgn0025741
Q9VHN1	FBgn0037613
Q8MRE6	FBgn0053202
Q9V6Q2	FBgn0040477
Q9VB08	FBgn0003330
Q94981	FBgn0017418
Q9N6D8	FBgn0039044
Q94887	FBgn0013997
Q9VMJ7	FBgn0031759
Q9XTN4	FBgn0024250
Q9V4C8	FBgn0039904
P22745	FBgn0000158
Q7K2X8	FBgn0033247
Q9VYW3	FBgn0266421
M9PH39	FBgn0261617
Q7JN06	FBgn0015602
Q9VJQ5	FBgn0028926
O97102	FBgn0264922
A1Z6W3	FBgn0003090
Q9VZZ9	FBgn0016794
Q9VAC4	FBgn0039735
Q07436	FBgn0004583
Q9VS01	FBgn0035725
O44226	FBgn0023212
P49028	FBgn0002736
Q9VLS5	FBgn0261064
Q9V4A7	FBgn0025740
Q9VUX2	FBgn0263601
Q9VGI4	FBgn0017581
P55035	FBgn0015283
Q9VHB5	FBgn0261049
Q9VEF0	FBgn0038551
Q9VWQ1	FBgn0030960
O18334	FBgn0015797
P26270	FBgn0002787
Q9VB22	FBgn0040080
Q9VYX1	FBgn0000618
Q9VRK9	FBgn0004380
P16371	FBgn0001139
Q9V727	FBgn0261823
Q9VPU1	FBgn0010583
P06002	FBgn0002940
Q9W087	FBgn0035271
Q960X8	FBgn0031450
Q9VXE9	FBgn0015615
Q9VAJ1	FBgn0039680
P08646	FBgn0003205
Q9XZJ4	FBgn0263121
P04052	FBgn0003277
Q7KVY7	FBgn0024980
Q86BY9	FBgn0250850
Q05652	FBgn0010441
P54359	FBgn0014029
Q7K119	FBgn0023214
P37276	FBgn0261797
Q8MSS1	FBgn0029688
Q9VIP9	FBgn0014127
Q9VDD8	FBgn0038862
P07207	FBgn0004647
P15330	FBgn0260632
Q0E9B7	FBgn0028407
O61735	FBgn0023076
Q9VVI3	FBgn0259174
Q9W3V2	FBgn0029912
Q9V853	FBgn0029006
Q9VPX6	FBgn0261458
Q8IRG6	FBgn0002183
Q9VEC1	FBgn0038578
Q7PLE9	FBgn0039966
Q9VZI2	FBgn0028484
P23128	FBgn0004419
P25008	FBgn0004597
Q9V439	FBgn0040339
Q9VQF9	FBgn0031455
Q5U110	FBgn0020493
Q27272	FBgn0000617
Q9W4M7	FBgn0026083
Q8SYK5	FBgn0031434
Q9VKW8	FBgn0032240
P20353	FBgn0001104
Q9VRQ2	FBgn0035640
P91634	FBgn0015279
Q9VNI8	FBgn0037382
Q9VF77	FBgn0038327
Q9W4W2	FBgn0000928
Q9V3I5	FBgn0020412
Q9V9W7	FBgn0003268
Q9VYB1	FBgn0030500
Q26263	FBgn0010109
Q09024	FBgn0001257
Q9VYW2	FBgn0002723
Q9VK33	FBgn0032475
M9PEM1	FBgn0035540
M9PGC5	FBgn0037098
P42124	FBgn0000629
B7Z0L8	FBgn0261019
Q9VYX4	FBgn0027259
P06601	FBgn0003145
Q9VV74	FBgn0036641
P18168	FBgn0004197
P29555	FBgn0000014
P25724	FBgn0002962
Q9XYP8	FBgn0001612
P48809	FBgn0004838
P13582	FBgn0000533
Q9VCH1	FBgn0260634
M9PGE1	FBgn0052791
P35554	FBgn0005633
Q94518	FBgn0086904
Q9V3E9	FBgn0015544
Q5LJZ2	FBgn0040022
Q9XZL8	FBgn0086370
Q9VC36	FBgn0039227
Q23985	FBgn0000524
Q24324	FBgn0010269
P00522	FBgn0000017
Q9VS59	FBgn0082598
Q7KUZ5	FBgn0010315
Q08605	FBgn0013263
P52304	FBgn0003124
Q24119	FBgn0262139
A1Z7J1	FBgn0024189
A1Z7K9	FBgn0033352
P52654	FBgn0011289
Q9U787	FBgn0028408
P35220	FBgn0010215
P35992	FBgn0004370
P21521	FBgn0004242
Q7JUY8	FBgn0260398
Q9V9T4	FBgn0027620
Q01989	FBgn0011225
Q9Y0I1	FBgn0027378
M9ND00	FBgn0023388
Q9GYV5	FBgn0041205
Q9VEQ2	FBgn0038461
Q9W3R7	FBgn0029943
Q7JRJ9	FBgn0260991
Q95RA8	FBgn0038965
P13217	FBgn0262738
P51123	FBgn0010355
Q9VR90	FBgn0031106
Q9VKM1	FBgn0004872
Q01069	FBgn0002733
Q9VK45	FBgn0021796
Q9VLP7	FBgn0032016
Q9VN88	FBgn0037299
P98081	FBgn0000414
A1Z9E2	FBgn0033846
