dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
110,7227,FBgn0000404,CycA,C,,flybase
110,7227,FBgn0000405,CycB,C,,flybase
110,7227,FBgn0000406,Cyt-b5-r,NE,,flybase
110,7227,FBgn0000411,D,C,,flybase
110,7227,FBgn0000412,D1,C,,flybase
110,7227,FBgn0000414,Dab,C,,flybase
110,7227,FBgn0000415,dal,E,,flybase
110,7227,FBgn0000416,Sap-r,C,,flybase
110,7227,FBgn0000419,db,C,,flybase
110,7227,FBgn0000420,dbl,E,,flybase
110,7227,FBgn0000422,Ddc,C,,flybase
110,7227,FBgn0000423,ddl,E,,flybase
110,7227,FBgn0000427,1-Dec,NE,,flybase
110,7227,FBgn0000434,der,NE,,flybase
110,7227,FBgn0000438,dfa,NE,,flybase
110,7227,FBgn0000439,Dfd,C,,flybase
110,7227,FBgn0000441,dfw,NE,,flybase
110,7227,FBgn0000442,Pkg21D,NE,,flybase
110,7227,FBgn0000444,dg-a,NE,,flybase
110,7227,FBgn0000446,dhm,NE,,flybase
110,7227,FBgn0000447,Dhod,C,,flybase
110,7227,FBgn0000448,Hr3,C,,flybase
110,7227,FBgn0000449,dib,C,,flybase
110,7227,FBgn0000450,dic,E,,flybase
110,7227,FBgn0000451,ect,C,,flybase
110,7227,FBgn0000454,Dip-B,NE,,flybase
110,7227,FBgn0000455,Dip-C,NE,,flybase
110,7227,FBgn0000459,disco,C,,flybase
110,7227,FBgn0000463,Dl,C,,flybase
110,7227,FBgn0000464,Lar,C,,flybase
110,7227,FBgn0000470,dlv,NE,,flybase
110,7227,FBgn0000473,Cyp6a2,NE,,flybase
110,7227,FBgn0000477,DNaseII,NE,,flybase
110,7227,FBgn0000479,dnc,C,,flybase
110,7227,FBgn0000482,dor,C,,flybase
110,7227,FBgn0000483,dotted,E,,flybase
110,7227,FBgn0000484,double,E,,flybase
110,7227,FBgn0000485,dow,NE,,flybase
110,7227,FBgn0000489,Pka-C3,NE,,flybase
110,7227,FBgn0000490,dpp,C,,flybase
110,7227,FBgn0000491,droopy,NE,,flybase
110,7227,FBgn0000492,Dr,C,,flybase
110,7227,FBgn0000495,drg,E,,flybase
110,7227,FBgn0000496,drw,C,,flybase
110,7227,FBgn0000499,dsh,C,,flybase
110,7227,FBgn0000500,Dsk,NE,,flybase
110,7227,FBgn0000501,dsp,E,,flybase
110,7227,FBgn0000504,dsx,C,,flybase
110,7227,FBgn0000511,du,E,,flybase
110,7227,FBgn0000517,dw-24E,E,,flybase
110,7227,FBgn0000519,dwf,E,,flybase
110,7227,FBgn0000520,dwg,C,,flybase
110,7227,FBgn0000522,dwu,E,,flybase
110,7227,FBgn0000524,dx,C,,flybase
110,7227,FBgn0000526,dusky-body,NE,,flybase
110,7227,FBgn0000527,e,C,,flybase
110,7227,FBgn0000529,bsh,NE,,flybase
110,7227,FBgn0000533,ea,C,,flybase
110,7227,FBgn0000535,eag,NE,,flybase
