ID,dataset,taxaID,locus,gene,score,essentiality,Ref_db,pmid
136113,173,83333,b3907,,,NE,,16738554
136114,173,83333,b3906,,,NE,,16738554
136115,173,83333,b3905,,,NE,,16738554
136116,173,83333,b3901,,,NE,,16738554
136117,173,83333,b3900,,,NE,,16738554
136118,173,83333,b3899,,,NE,,16738554
136119,173,83333,b3898,,,NE,,16738554
136120,173,83333,b3897,,,NE,,16738554
136121,173,83333,b3896,,,NE,,16738554
136122,173,83333,b3895,,,NE,,16738554
136123,173,83333,b3894,,,NE,,16738554
136124,173,83333,b3893,,,NE,,16738554
136125,173,83333,b3892,,,NE,,16738554
136126,173,83333,b3891,,,NE,,16738554
136127,173,83333,b3890,,,NE,,16738554
136128,173,83333,b3889,,,NE,,16738554
136129,173,83333,b3888,,,NE,,16738554
136130,173,83333,b3887,,,NE,,16738554
136131,173,83333,b3886,,,NE,,16738554
136132,173,83333,b3885,,,NE,,16738554
136133,173,83333,b3884,,,NE,,16738554
136134,173,83333,b3883,,,NE,,16738554
136135,173,83333,b3882,,,NE,,16738554
136136,173,83333,b3881,,,NE,,16738554
136137,173,83333,b3880,,,NE,,16738554
136138,173,83333,b3879,,,NE,,16738554
136139,173,83333,b3878,,,NE,,16738554
136140,173,83333,b3877,,,NE,,16738554
136141,173,83333,b3876,,,NE,,16738554
136142,173,83333,b3875,,,NE,,16738554
136143,173,83333,b3874,,,NE,,16738554
136144,173,83333,b3873,,,NE,,16738554
136145,173,83333,b3872,,,NE,,16738554
136146,173,83333,b3871,,,NE,,16738554
136147,173,83333,b3870,,,NE,,16738554
136148,173,83333,b3869,,,NE,,16738554
136149,173,83333,b3868,,,NE,,16738554
136150,173,83333,b3867,,,NE,,16738554
136151,173,83333,b3866,,,NE,,16738554
136152,173,83333,b3865,,,E,,16738554
136153,173,83333,b3863,,,NE,,16738554
136154,173,83333,b3862,,,NE,,16738554
136155,173,83333,b3861,,,NE,,16738554
136156,173,83333,b3860,,,NE,,16738554
136157,173,83333,b3859,,,NE,,16738554
136158,173,83333,b3858,,,NE,,16738554
136159,173,83333,b3857,,,NE,,16738554
136160,173,83333,b3856,,,NE,,16738554
136161,173,83333,b3850,,,E,,16738554
136162,173,83333,b3849,,,NE,,16738554
136163,173,83333,b3848,,,NE,,16738554
136164,173,83333,b3847,,,NE,,16738554
136165,173,83333,b3846,,,NE,,16738554
136166,173,83333,b3845,,,NE,,16738554
136167,173,83333,b3844,,,NE,,16738554
136168,173,83333,b3843,,,E,,16738554
136169,173,83333,b3842,,,NE,,16738554
136170,173,83333,b3839,,,NE,,16738554
136171,173,83333,b3838,,,NE,,16738554
136172,173,83333,b3836,,,NE,,16738554
136173,173,83333,b3835,,,E,,16738554
136174,173,83333,b3834,,,E,,16738554
136175,173,83333,b3833,,,NE,,16738554
136176,173,83333,b3832,,,NE,,16738554
136177,173,83333,b3831,,,NE,,16738554
136178,173,83333,b3830,,,NE,,16738554
136179,173,83333,b3829,,,NE,,16738554
136180,173,83333,b3828,,,NE,,16738554
136181,173,83333,b3827,,,NE,,16738554
136182,173,83333,b3826,,,NE,,16738554
136183,173,83333,b3825,,,NE,,16738554
136184,173,83333,b3824,,,NE,,16738554
136185,173,83333,b3823,,,NE,,16738554
136186,173,83333,b3822,,,NE,,16738554
136187,173,83333,b3821,,,NE,,16738554
136188,173,83333,b3820,,,NE,,16738554
136189,173,83333,b3819,,,NE,,16738554
136190,173,83333,b3818,,,NE,,16738554
136191,173,83333,b3817,,,NE,,16738554
136192,173,83333,b3816,,,NE,,16738554
136193,173,83333,b3813,,,NE,,16738554
136194,173,83333,b3812,,,NE,,16738554
136195,173,83333,b3811,,,NE,,16738554
136196,173,83333,b3810,,,NE,,16738554
136197,173,83333,b3809,,,NE,,16738554
136198,173,83333,b3808,,,NE,,16738554
136199,173,83333,b3807,,,NE,,16738554
136200,173,83333,b3806,,,NE,,16738554
136201,173,83333,b3805,,,E,,16738554
136202,173,83333,b3804,,,E,,16738554
136203,173,83333,b3803,,,NE,,16738554
136204,173,83333,b3802,,,NE,,16738554
136205,173,83333,b3801,,,NE,,16738554
136206,173,83333,b3800,,,NE,,16738554
136207,173,83333,b3795,,,NE,,16738554
136208,173,83333,b3794,,,NE,,16738554
136209,173,83333,b3793,,,E,,16738554
136210,173,83333,b3792,,,NE,,16738554
136211,173,83333,b3791,,,NE,,16738554
136212,173,83333,b3790,,,NE,,16738554
136213,173,83333,b3789,,,NE,,16738554
136214,173,83333,b3788,,,NE,,16738554
136215,173,83333,b3787,,,NE,,16738554
136216,173,83333,b3786,,,NE,,16738554
136217,173,83333,b3785,,,NE,,16738554
136218,173,83333,b3784,,,NE,,16738554
136219,173,83333,b3783,,,NE,,16738554
136220,173,83333,b3782,,,NE,,16738554
136221,173,83333,b3781,,,NE,,16738554
136222,173,83333,b3780,,,NE,,16738554
