Q9VX77_DROME	FBgn0260747
X2JFJ0_DROME	FBgn0260747
Q9VBQ3_DROME	FBgn0039343
Q9VFA2_DROME	FBgn0038312
GOSR2_DROME	FBgn0260856
Q2PDQ9_DROME	FBgn0038405
Q9VEY0_DROME	FBgn0038405
Q9VDC1_DROME	FBgn0038877
Q9W478_DROME	FBgn0029804
LIPT2_DROME	FBgn0037251
A0A126GUP4_DROME	FBgn0037251
Q9VDY9_DROME	FBgn0051475
U520_DROME	FBgn0263599
Q9VAW8_DROME	FBgn0002865
NSUN2_DROME	FBgn0026079
Q9V420_DROME	FBgn0004465
Q9VBL5_DROME	FBgn0039378
M9NDG1_DROME	FBgn0031758
Q8IPK1_DROME	FBgn0031758
Q9VMK0_DROME	FBgn0031758
Q9W0Z4_DROME	FBgn0035073
A0A0B4KF65_DROME	FBgn0051522
Q8IPL8_DROME	FBgn0051522
Q9VN29_DROME	FBgn0051522
M9NE27_DROME	FBgn0035578
Q9VZ80_DROME	FBgn0035578
Q8IQH2_DROME	FBgn0036290
Q9VTY2_DROME	FBgn0036290
A0A0B4K775_DROME	FBgn0086757
A0A0B4K864_DROME	FBgn0086757
Q7K4K7_DROME	FBgn0086757
Q9VVF0_DROME	FBgn0036706
GOLP3_DROME	FBgn0267378
RPC2_DROME	FBgn0004463
RS8_DROME	FBgn0039713
A0A0B4K6N1_DROME	FBgn0039713
Q9VL71_DROME	FBgn0024285
Q9VFM2_DROME	FBgn0038210
Q9VVM2_DROME	FBgn0036766
Q8INU9_DROME	FBgn0051680
Q9VTX7_DROME	FBgn0000625
Q4V664_DROME	FBgn0034563
Q9VR61_DROME	FBgn0262866
Q9W3T3_DROME	FBgn0029928
Q9VHC5_DROME	FBgn0037703
Q9VBL8_DROME	FBgn0039376
PGPLE_DROME	FBgn0030695
M9NDY2_DROME	FBgn0030695
AMYA_DROME	FBgn0000079
A0A0B4LGS0_DROME	FBgn0000079
A1ZAS8_DROME	FBgn0027506
Q9NDR1_DROME	FBgn0027506
M9PBB4_DROME	FBgn0259896
Q9VJU5_DROME	FBgn0259896
Q9VSB2_DROME	FBgn0052369
A0A0B4JDD0_DROME	FBgn0261015
E1JIF4_DROME	FBgn0261015
Q8MRQ5_DROME	FBgn0261015
Q8WTI8_DROME	FBgn0261015
A0A0B4KFD8_DROME	FBgn0037475
Q9VI67_DROME	FBgn0037475
Y5902_DROME	FBgn0039136
E1JIV0_DROME	FBgn0039136
Q9W5H1_DROME	FBgn0261446
Q9VBD5_DROME	FBgn0039441
Q9VSY0_DROME	FBgn0035985
A0A0B4KG11_DROME	FBgn0020767
F0JAK5_DROME	FBgn0020767
Q7K0G4_DROME	FBgn0020767
Q9W2Y4_DROME	FBgn0030177
Q9VKQ5_DROME	FBgn0032297
Q9VIL4_DROME	FBgn0032869
TRIM9_DROME	FBgn0051721
Q8IMT6_DROME	FBgn0051300
Q9VGQ4_DROME	FBgn0037888
A0A0B4K8A8_DROME	FBgn0034761
Q9W218_DROME	FBgn0034761
LIS1_DROME	FBgn0015754
A0A0B4K812_DROME	FBgn0015754
A0A0B4KEL5_DROME	FBgn0003382
A1Z8J5_DROME	FBgn0003382
B7YZF2_DROME	FBgn0003382
Q9VJQ0_DROME	FBgn0028888
Q9VDQ6_DROME	FBgn0038765
Q9VNZ3_DROME	FBgn0037121
Q9VBE6_DROME	FBgn0039430
Q7JQT9_DROME	FBgn0033454
Q9VLH9_DROME	FBgn0032069
PTPS_DROME	FBgn0003141
Q9VWG2_DROME	FBgn0031036
A0A0B4KGX5_DROME	FBgn0260935
E1JIG3_DROME	FBgn0260935
Q9VHH2_DROME	FBgn0260935
ENY2_DROME	FBgn0000618
PP12_DROME	FBgn0004103
DUOX_DROME	FBgn0283531
M9PCF1_DROME	FBgn0283531
MGN_DROME	FBgn0002736
Q9W164_DROME	FBgn0029501
A0A0C4DHH3_DROME	FBgn0260398
Q7JUY8_DROME	FBgn0260398
Q9VB72_DROME	FBgn0039490
HHAT_DROME	FBgn0024194
COG3_DROME	FBgn0031536
SAHH_DROME	FBgn0014455
M9PHN8_DROME	FBgn0014455
X2JF40_DROME	FBgn0014455
Q9VSU3_DROME	FBgn0040827
Q9XZS4_DROME	FBgn0026878
ITA5_DROME	FBgn0034880
A0A0B4KF18_DROME	FBgn0264907
D2NUL5_DROME	FBgn0264907
Q9VN52_DROME	FBgn0264907
Q9VV20_DROME	FBgn0036596
DBR1_DROME	FBgn0035838
Q9XZ11_DROME	FBgn0027532
Q9VGJ4_DROME	FBgn0265271
Q9VTE6_DROME	FBgn0036124
Q9W124_DROME	FBgn0260456
A1ZB29_DROME	FBgn0034299
A0A0B4K7T3_DROME	FBgn0034160
A1ZAJ8_DROME	FBgn0034160
Q95RC5_DROME	FBgn0038855
DCOR1_DROME	FBgn0013307
Q9VPQ8_DROME	FBgn0031261
FUCTC_DROME	FBgn0044872
Q9VEG8_DROME	FBgn0051249
A1Z8G2_DROME	FBgn0033588
A1Z6P3_DROME	FBgn0027066
Q7JZD3_DROME	FBgn0027066
Q9XZ57_DROME	FBgn0027066
Q4V5R2_DROME	FBgn0039454
A1Z8H1_DROME	FBgn0033597
CRY1_DROME	FBgn0025680
Q7KWG9_DROME	FBgn0039972
Q7KWH0_DROME	FBgn0039972
Q9W5Y4_DROME	FBgn0039972
M9NE97_DROME	FBgn0062413
Q9W3X9_DROME	FBgn0062413
TUTL_DROME	FBgn0010473
A0A0S0WIF3_DROME	FBgn0010473
A0A0S0WJJ4_DROME	FBgn0010473
E1JHS9_DROME	FBgn0010473
E1JHT0_DROME	FBgn0010473
M9PCI8_DROME	FBgn0010473
MMS22_DROME	FBgn0023513
X2JA69_DROME	FBgn0023513
Q7KTG4_DROME	FBgn0032123
Q9VLB3_DROME	FBgn0032123
Q9VG07_DROME	FBgn0038106
Q9VJI5_DROME	FBgn0032601
Q6XPX3_DROME	FBgn0033170
Q8SZB2_DROME	FBgn0033170
C0PUW4_DROME	FBgn0264443
M9PDT0_DROME	FBgn0264443
Q9VIQ2_DROME	FBgn0264443
MCM5_DROME	FBgn0017577
Q24050_DROME	FBgn0015359
Q9VZT6_DROME	FBgn0035412
Q7K119_DROME	FBgn0023214
Q9VB86_DROME	FBgn0029170
Q8IMY3_DROME	FBgn0051414
Q9V3G9_DROME	FBgn0040371
Q9VYI1_DROME	FBgn0030435
Q9W3N0_DROME	FBgn0029976
RENR_DROME	FBgn0037671
A8JUX7_DROME	FBgn0266000
Q9W4F6_DROME	FBgn0266000
Q9VZ63_DROME	FBgn0030240
Q9W1N9_DROME	FBgn0034871
Q9W2R4_DROME	FBgn0011674
Q9VD30_DROME	FBgn0038946
MBL_DROME	FBgn0265487
A0A0B4K782_DROME	FBgn0265487
A0A0B4K7U4_DROME	FBgn0265487
A0A0B4K835_DROME	FBgn0265487
A0A0B4KET3_DROME	FBgn0265487
A0A0B4KF98_DROME	FBgn0265487
A0A0B4KFA2_DROME	FBgn0265487
A0A0B4KG51_DROME	FBgn0265487
B7YZI9_DROME	FBgn0265487
