P92177	14-3-3epsilon	FBgn0020238
M9PDI8	trh	FBgn0262139
A0A0B4KHB2	CtBP	FBgn0020496
O15968	Dad	FBgn0020493
O61674	fas	FBgn0000633
Q8IP19	dac	FBgn0005677
M9NFR3	CycA	FBgn0000404
A0A0B4K7A6	mod(mdg4)	FBgn0002781
Q8IP51	wb	FBgn0261563
A0A0B4KFF0	pum	FBgn0003165
M9MSJ1	brat	FBgn0010300
M9PCN6	numb	FBgn0002973
Q8IP21	dac	FBgn0005677
A0A0B4JDG1	ttk	FBgn0003870
A1Z8F4	shn	FBgn0003396
M9PCE8	Acer	FBgn0016122
A0A0B4K7T7	RhoGEF2	FBgn0023172
Q8IPW2	dock	FBgn0010583
A0A0B4JD95	zip	FBgn0265434
M9PCU1	Abl	FBgn0000017
X2JA59	salm	FBgn0261648
Q9VU38	Adk2	FBgn0036337
M9NGB9	mub	FBgn0262737
A0A0B4K7I6	sm	FBgn0003435
M9NFK2	ftz-f1	FBgn0001078
A0A0C4DHD5	sm	FBgn0003435
A0A0B4KGT0	cnc	FBgn0262975
M9PBJ7	msn	FBgn0010909
Q59E59	zip	FBgn0265434
A0A0B4KHK1	slmb	FBgn0283468
A0A126GUN9	Sin3A	FBgn0022764
A0A0B4KI15	Fur1	FBgn0004509
X2JAI1	Su(H)	FBgn0004837
A0A0B4K6Q6	pros	FBgn0004595
A0A0B4KHB6	cpo	FBgn0263995
M9PCD8	Btk29A	FBgn0003502
M9NCU7	Mhc	FBgn0264695
A1Z7L9	babo	FBgn0011300
Q9W002	msn	FBgn0010909
M9PBM1	U2af38	FBgn0017457
A0A0B4K765	Sin3A	FBgn0022764
A0A0B4KHS6	Stat92E	FBgn0016917
A0A0B4KFC0	shn	FBgn0003396
A0A0B4K7B0	sm	FBgn0003435
A0A0B4K7Z3	Doa	FBgn0265998
A0A0B4K6U6	sqd	FBgn0263396
A0A0B4KGV8	cpo	FBgn0263995
A0A0B4LHX6	awd	FBgn0000150
A0A0B4K7I2	sm	FBgn0003435
Q9Y1L3	kis	FBgn0266557
Q9VED3	sr	FBgn0003499
A0A0B4KFQ2	svp	FBgn0003651
X2JGR4	Abl	FBgn0000017
A0A0S0WGV8	Gsc	FBgn0010323
M9NDY6	mub	FBgn0262737
M9NCZ5	dia	FBgn0011202
A0A0B4KHP5	cnc	FBgn0262975
A0A0B4K7W3	sm	FBgn0003435
E1JHJ3	Mhc	FBgn0264695
Q9U6I2	glu	FBgn0015391
M9PH19	msn	FBgn0010909
O44113	RhoGEF2	FBgn0023172
A0A0S0WH03	mub	FBgn0262737
A0A0B4KFX7	pum	FBgn0003165
B7Z002	kis	FBgn0266557
