Q9VWC0	FBgn0052529
O46067	FBgn0023529
Q24154	FBgn0016726
Q9VVJ6	FBgn0052179
P92189	FBgn0003527
Q9VMF3	FBgn0265778
Q9VMP2	FBgn0031722
Q9W308	FBgn0030159
Q400N1	FBgn0086690
Q9VAI1	FBgn0039689
Q9W4H1	FBgn0029724
Q6IHC3	FBgn0085196
Q8SXG7	FBgn0031607
A1Z9S1	FBgn0050077
Q95TK5	FBgn0039854
Q9VQJ0	FBgn0010263
Q9VDS9	FBgn0014006
P81917	FBgn0026389
Q9V463	FBgn0021761
Q9XTP7	FBgn0015396
Q9W029	FBgn0041709
Q8IP79	FBgn0032482
A1Z897	FBgn0033523
Q9VEH4	FBgn0038531
Q9VJX2	FBgn0028942
P36975	FBgn0011288
Q9VA34	FBgn0039804
Q9W2K2	FBgn0261067
Q9VBI0	FBgn0039404
Q24533	FBgn0000411
P10674	FBgn0285925
Q8MS56	FBgn0036153
Q9W351	FBgn0030122
Q9VJX8	FBgn0032524
Q8INT9	FBgn0051626
Q8SYC5	FBgn0039467
M9PEB0	FBgn0035545
Q9VVL1	FBgn0036757
P13368	FBgn0003366
Q9VRY0	FBgn0035709
Q9VYD4	FBgn0030483
Q9VIE6	FBgn0032929
P04357	FBgn0002868
Q9VSF5	FBgn0035855
Q9VYB9	FBgn0052631
Q9VS73	FBgn0035785
Q8MT18	FBgn0039358
Q9W468	FBgn0029814
Q8IPL3	FBgn0083962
Q7KTX2	FBgn0026179
Q9VJ43	FBgn0015808
Q9W0J2	FBgn0264272
Q9VBN7	FBgn0039357
Q9V9T9	FBgn0270927
Q961B0	FBgn0026598
P02516	FBgn0001224
Q961H1	FBgn0037375
Q4V5H1	FBgn0033089
Q8IMK7	FBgn0086361
Q9VZQ3	FBgn0004167
Q7YTY6	FBgn0028988
Q9VTD2	FBgn0036112
Q9VJZ7	FBgn0022069
Q9VFR1	FBgn0260464
Q9W4J5	FBgn0029714
Q9VQW1	FBgn0051774
Q7KNS5	FBgn0022987
P42325	FBgn0013303
Q961D7	FBgn0262167
Q9W3W6	FBgn0287725
Q9W457	FBgn0029823
Q8SYK5	FBgn0031434
Q7K581	FBgn0034181
Q9W1A0	FBgn0034985
Q9VX15	FBgn0030871
Q9W171	FBgn0035006
Q24468	FBgn0003169
Q9VW94	FBgn0036952
Q9W0R6	FBgn0035131
Q9VXQ3	FBgn0030683
Q9VM32	FBgn0259111
O01352	FBgn0019828
Q9VBC8	FBgn0039448
Q9VB89	FBgn0039475
Q8SXM3	FBgn0003277
Q9VZ39	FBgn0030259
Q9VHW5	FBgn0037544
P45884	FBgn0012042
Q9VMV5	FBgn0016075
Q9VGB1	FBgn0038009
Q9VMX1	FBgn0031659
Q9W086	FBgn0035272
Q8I0S6	FBgn0011205
Q9VUV7	FBgn0283649
Q7KKI9	FBgn0028410
Q9VPX3	FBgn0283525
Q8IRM5	FBgn0020378
Q4QPU3	FBgn0033085
Q7JVI6	FBgn0033381
B7YZE5	FBgn0259219
Q9W0T1	FBgn0000541
Q9VCR3	FBgn0039054
Q8IH00	FBgn0261286
Q9VPB8	FBgn0037020
Q9VNT5	FBgn0037170
Q9U3V8	FBgn0016080
A1Z933	FBgn0061360
Q8SZV0	FBgn0033323
O02195	FBgn0015834
Q9VJP2	FBgn0001983
A1Z6G6	FBgn0027507
O76454	FBgn0024841
Q9VSL9	FBgn0035911
Q9VBU6	FBgn0039303
Q9VZ30	FBgn0030266
Q9VLQ4	FBgn0032010
Q8INY3	FBgn0002939
Q0E8X8	FBgn0040660
Q9W2W1	FBgn0263997
M9NF18	FBgn0030320
Q8IQB4	FBgn0035917
Q9V7N5	FBgn0262511
A1Z9M0	FBgn0033905
Q9W0K4	FBgn0025525
Q9VSJ6	FBgn0265102
Q9V3J8	FBgn0040066
Q24592	FBgn0004864
P29327	FBgn0261592
Q9VMM4	FBgn0031739
Q9VRC3	FBgn0031134
Q8MRT7	FBgn0038302
Q9VJ18	FBgn0028569
Q9VT68	FBgn0036058
F0JAI6	FBgn0028952
X2JE07	FBgn0029941
Q9VXD7	FBgn0052573
Q9VLI0	FBgn0032068
