Q9VZC9	FBgn0035540
Q7KTI1	FBgn0032036
Q09332	FBgn0014075
Q9W141	FBgn0035032
Q9VR69	FBgn0052499
Q9W3Z4	FBgn0029874
P35832	FBgn0004369
O77051	FBgn0024371
Q9W0Z4	FBgn0035073
O15945	FBgn0264075
Q9VHG6	FBgn0037669
Q9VJZ4	FBgn0032511
P91931	FBgn0019932
Q7K1T1	FBgn0259978
Q8SZT8	FBgn0034137
P54191	FBgn0011279
Q9VGU5	FBgn0037855
Q9VRX6	FBgn0024177
Q6NMT8	FBgn0033174
Q7JXF5	FBgn0034118
Q9VND4	FBgn0037340
Q9VR53	FBgn0266848
Q961G1	FBgn0031536
Q7JW12	FBgn0034455
P25992	FBgn0005596
P81914	FBgn0026392
Q9U1K7	FBgn0040396
Q9VH08	FBgn0037802
Q8T4D4	FBgn0031784
P08970	FBgn0003567
P18490	FBgn0003048
Q9VLM0	FBgn0040098
Q7JZR0	FBgn0034201
Q9VEP1	FBgn0038471
Q9VFH2	FBgn0038251
Q9VER8	FBgn0015351
Q9VQK0	FBgn0025681
Q9VAQ0	FBgn0039632
Q8ST83	FBgn0002521
Q9VC61	FBgn0039209
Q9V3A7	FBgn0015391
Q04047	FBgn0004227
Q9VKZ0	FBgn0032223
Q9U6L5	FBgn0004181
Q9VZZ4	FBgn0011828
Q9VBR1	FBgn0039335
Q9VRV7	FBgn0035692
P08510	FBgn0003380
Q9VKX8	FBgn0032233
A1ZBL2	FBgn0034447
Q9V3J4	FBgn0024509
Q9VGI1	FBgn0037949
Q7PLI2	FBgn0026401
Q9I7K0	FBgn0051363
Q9VCG8	FBgn0085384
Q9VGE8	FBgn0037976
Q9Y123	FBgn0027564
Q8SY05	FBgn0038832
Q9W4G4	FBgn0029730
Q9W0A2	FBgn0035260
Q9VPM1	FBgn0031238
Q9VB17	FBgn0039531
Q7K2U6	FBgn0033287
Q9VLG2	FBgn0032083
Q9NKV0	FBgn0034051
Q9VEW2	FBgn0038421
Q00963	FBgn0250788
Q7KMP8	FBgn0028691
P40657	FBgn0005613
P28750	FBgn0000615
Q9VVX3	FBgn0016797
O76896	FBgn0024983
Q9VJL7	FBgn0028895
Q9W2F4	FBgn0000326
